Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value
2023,APR,STATE,1,7,TOTAL,"224,100,000"
2023,APR,STATE,5,7,TOTAL,"319,000,000"
2023,APR,STATE,6,7,TOTAL,"271,300,000"
2023,APR,STATE,8,7,TOTAL,"52,200,000"
2023,APR,STATE,13,7,TOTAL,"437,800,000"
2023,APR,STATE,17,7,TOTAL,"162,500,000"
2023,APR,STATE,18,7,TOTAL,"891,300,000"
2023,APR,STATE,19,7,TOTAL,"1,149,000,000"
2023,APR,STATE,21,7,TOTAL,"122,400,000"
2023,APR,STATE,24,7,TOTAL,"54,500,000"
2023,APR,STATE,26,7,TOTAL,"421,900,000"
2023,APR,STATE,27,7,TOTAL,"192,200,000"
2023,APR,STATE,28,7,TOTAL,"114,300,000"
2023,APR,STATE,29,7,TOTAL,"332,300,000"
2023,APR,STATE,31,7,TOTAL,"181,400,000"
2023,APR,STATE,36,7,TOTAL,"144,500,000"
2023,APR,STATE,37,7,TOTAL,"341,000,000"
2023,APR,STATE,39,7,TOTAL,"941,900,000"
2023,APR,STATE,40,7,TOTAL,"45,800,000"
2023,APR,STATE,41,7,TOTAL,"58,000,000"
2023,APR,STATE,,7,TOTAL,"747,300,000"
2023,APR,STATE,42,7,TOTAL,"635,500,000"
2023,APR,STATE,45,7,TOTAL,"80,900,000"
2023,APR,STATE,46,7,TOTAL,"30,900,000"
2023,APR,STATE,48,7,TOTAL,"528,200,000"
2023,APR,STATE,49,7,TOTAL,"150,800,000"
2023,APR,STATE,51,7,TOTAL,"62,800,000"
2023,APR,STATE,53,7,TOTAL,"142,300,000"
2023,APR,STATE,55,7,TOTAL,"194,900,000"
2023,FEB,STATE,1,7,TOTAL,"202,500,000"
2023,FEB,STATE,5,7,TOTAL,"298,900,000"
2023,FEB,STATE,6,7,TOTAL,"255,100,000"
2023,FEB,STATE,8,7,TOTAL,"39,600,000"
2023,FEB,STATE,13,7,TOTAL,"412,600,000"
2023,FEB,STATE,17,7,TOTAL,"148,500,000"
2023,FEB,STATE,18,7,TOTAL,"837,600,000"
2023,FEB,STATE,19,7,TOTAL,"997,500,000"
2023,FEB,STATE,21,7,TOTAL,"117,000,000"
2023,FEB,STATE,24,7,TOTAL,"51,800,000"
2023,FEB,STATE,26,7,TOTAL,"379,900,000"
2023,FEB,STATE,27,7,TOTAL,"184,300,000"
2023,FEB,STATE,28,7,TOTAL,"104,800,000"
2023,FEB,STATE,29,7,TOTAL,"312,600,000"
2023,FEB,STATE,31,7,TOTAL,"141,800,000"
2023,FEB,STATE,36,7,TOTAL,"134,900,000"
2023,FEB,STATE,37,7,TOTAL,"321,100,000"
2023,FEB,STATE,39,7,TOTAL,"842,700,000"
2023,FEB,STATE,40,7,TOTAL,"42,600,000"
2023,FEB,STATE,41,7,TOTAL,"51,100,000"
2023,FEB,STATE,,7,TOTAL,"689,100,000"
2023,FEB,STATE,42,7,TOTAL,"593,200,000"
2023,FEB,STATE,45,7,TOTAL,"82,200,000"
2023,FEB,STATE,46,7,TOTAL,"27,400,000"
2023,FEB,STATE,48,7,TOTAL,"488,300,000"
2023,FEB,STATE,49,7,TOTAL,"137,000,000"
2023,FEB,STATE,51,7,TOTAL,"59,000,000"
2023,FEB,STATE,53,7,TOTAL,"135,000,000"
2023,FEB,STATE,55,7,TOTAL,"139,100,000"
2023,JAN,STATE,1,7,TOTAL,"218,300,000"
2023,JAN,STATE,5,7,TOTAL,"335,900,000"
2023,JAN,STATE,6,7,TOTAL,"277,200,000"
2023,JAN,STATE,8,7,TOTAL,"44,100,000"
2023,JAN,STATE,13,7,TOTAL,"456,300,000"
2023,JAN,STATE,17,7,TOTAL,"162,400,000"
2023,JAN,STATE,18,7,TOTAL,"930,300,000"
2023,JAN,STATE,19,7,TOTAL,"1,056,800,000"
2023,JAN,STATE,21,7,TOTAL,"128,200,000"
2023,JAN,STATE,24,7,TOTAL,"58,500,000"
2023,JAN,STATE,26,7,TOTAL,"418,900,000"
2023,JAN,STATE,27,7,TOTAL,"212,500,000"
2023,JAN,STATE,28,7,TOTAL,"114,600,000"
2023,JAN,STATE,29,7,TOTAL,"351,400,000"
2023,JAN,STATE,31,7,TOTAL,"148,600,000"
2023,JAN,STATE,36,7,TOTAL,"149,900,000"
2023,JAN,STATE,37,7,TOTAL,"352,000,000"
2023,JAN,STATE,39,7,TOTAL,"902,700,000"
2023,JAN,STATE,40,7,TOTAL,"50,600,000"
2023,JAN,STATE,41,7,TOTAL,"56,500,000"
2023,JAN,STATE,,7,TOTAL,"767,700,000"
2023,JAN,STATE,42,7,TOTAL,"663,200,000"
